From	Usage	To	Weight	 	 
.chart.LegendItem	uses	.util.PaintUtilities	1		
.chart.LegendItem	uses	.util.ObjectUtilities	1		
.chart.LegendItem	uses	.util.ShapeUtilities	2		
.chart.LegendItem	uses	.util.AttributedStringUtilities	1		
.chart.LegendItem	uses	.util.PublicCloneable	2		
.chart.LegendItem	uses	.ui.StandardGradientPaintTransformer	4		
.chart.LegendItem	uses	.io.SerialUtilities	8		
.chart.LegendItemCollection	uses	.util.ObjectUtilities	1		
.chart.LegendItemCollection	uses	.chart.LegendItem	2		
.chart.LegendItemSource	uses	.chart.LegendItemCollection	1		
.chart.MouseWheelHandler	contains	.chart.ChartPanel	6		
.chart.MouseWheelHandler	uses	.chart.plot.Zoomable	4		
.chart.MouseWheelHandler	uses	.chart.ChartRenderingInfo	2		
.chart.MouseWheelHandler	uses	.chart.plot.Plot	4		
.chart.MouseWheelHandler	uses	.chart.plot.PlotRenderingInfo	2		
.chart.MouseWheelHandler	uses	.chart.JFreeChart	2		
.chart.PaintMap	uses	.util.PaintUtilities	1		
.chart.PaintMap	uses	.io.SerialUtilities	2		
.chart.PolarChartPanel	extends	.chart.ChartPanel	10		
.chart.PolarChartPanel	uses	.chart.JFreeChart	7		
.chart.PolarChartPanel	uses	.chart.axis.ValueAxis	2		
.chart.PolarChartPanel	uses	.chart.plot.PolarPlot	4		
.chart.PolarChartPanel	uses	.chart.plot.Plot	2		
.chart.StandardChartTheme	implements	.chart.ChartTheme	4		
.chart.StandardChartTheme	implements	.util.PublicCloneable	3		
.chart.StandardChartTheme	contains	.chart.plot.DrawingSupplier	5		
.chart.StandardChartTheme	contains	.chart.plot.PieLabelLinkStyle	7		
.chart.StandardChartTheme	contains	.ui.RectangleInsets	10		
.chart.StandardChartTheme	contains	.chart.renderer.category.BarPainter	5		
.chart.StandardChartTheme	contains	.chart.renderer.xy.XYBarPainter	5		
.chart.StandardChartTheme	uses	.chart.plot.Plot	9		
.chart.StandardChartTheme	uses	.chart.plot.CategoryPlot	12		
.chart.StandardChartTheme	uses	.chart.plot.MultiplePiePlot	3		
.chart.StandardChartTheme	uses	.chart.plot.ThermometerPlot	5		
.chart.StandardChartTheme	uses	.chart.plot.FastScatterPlot	6		
.chart.StandardChartTheme	uses	.chart.plot.PiePlot	11		
.chart.StandardChartTheme	uses	.chart.plot.PolarPlot	7		
.chart.StandardChartTheme	uses	.chart.plot.SpiderWebPlot	5		
.chart.StandardChartTheme	uses	.chart.plot.MeterPlot	9		
.chart.StandardChartTheme	uses	.chart.plot.XYPlot	16		
.chart.StandardChartTheme	uses	.util.PaintUtilities	1		
.chart.StandardChartTheme	uses	.chart.axis.CategoryAxis	2		
.chart.StandardChartTheme	uses	.chart.plot.CombinedDomainCategoryPlot	2		
.chart.StandardChartTheme	uses	.chart.renderer.category.CategoryItemRenderer	4		
.chart.StandardChartTheme	uses	.chart.plot.CombinedRangeCategoryPlot	2		
.chart.StandardChartTheme	uses	.chart.axis.ValueAxis	7		
.chart.StandardChartTheme	uses	.chart.axis.SymbolAxis	6		
.chart.StandardChartTheme	uses	.chart.annotations.XYAnnotation	2		
.chart.StandardChartTheme	uses	.chart.annotations.XYTextAnnotation	3		
.chart.StandardChartTheme	uses	.chart.title.Title	3		
.chart.StandardChartTheme	uses	.chart.block.Block	3		
.chart.StandardChartTheme	uses	.chart.title.PaintScaleLegend	3		
.chart.StandardChartTheme	uses	.chart.block.BlockContainer	4		
.chart.StandardChartTheme	uses	.chart.title.TextTitle	6		
.chart.StandardChartTheme	uses	.chart.title.LegendTitle	6		
.chart.StandardChartTheme	uses	.chart.title.CompositeTitle	2		
.chart.StandardChartTheme	uses	.chart.JFreeChart	8		
.chart.StandardChartTheme	uses	.chart.plot.DefaultDrawingSupplier	5		
.chart.StandardChartTheme	uses	.chart.axis.SubCategoryAxis	3		
.chart.StandardChartTheme	uses	.chart.axis.Axis	8		
.chart.StandardChartTheme	uses	.chart.axis.PeriodAxis	4		
.chart.StandardChartTheme	uses	.chart.renderer.AbstractRenderer	7		
.chart.StandardChartTheme	uses	.chart.plot.CombinedRangeXYPlot	2		
.chart.StandardChartTheme	uses	.chart.plot.CombinedDomainXYPlot	2		
.chart.StandardChartTheme	uses	.chart.renderer.xy.XYItemRenderer	4		
.chart.StandardChartTheme	uses	.chart.renderer.category.StatisticalBarRenderer	2		
.chart.StandardChartTheme	uses	.chart.renderer.category.BarRenderer	4		
.chart.StandardChartTheme	uses	.chart.renderer.category.MinMaxCategoryRenderer	2		
.chart.StandardChartTheme	uses	.chart.renderer.category.LineRenderer3D	2		
.chart.StandardChartTheme	uses	.chart.renderer.category.BarRenderer3D	3		
.chart.StandardChartTheme	uses	.io.SerialUtilities	2		
.chart.StandardChartTheme	uses	.chart.renderer.xy.XYBarRenderer	3		
.chart.StandardChartTheme	uses	.chart.block.LabelBlock	3		
.chart.StandardChartTheme	uses	.chart.axis.PeriodAxisLabelInfo	8		
.chart.StandardChartTheme	uses	.chart.renderer.category.GradientBarPainter	2		
.chart.StandardChartTheme	uses	.chart.renderer.xy.GradientXYBarPainter	2		
.chart.StrokeMap	uses	.util.ObjectUtilities	1		
.chart.StrokeMap	uses	.io.SerialUtilities	2		
.chart.annotations.AbstractXYAnnotation	implements	.chart.annotations.XYAnnotation	1		
.chart.annotations.AbstractXYAnnotation	uses	.chart.plot.XYPlot	1		
.chart.annotations.AbstractXYAnnotation	uses	.chart.axis.ValueAxis	1		
.chart.annotations.AbstractXYAnnotation	uses	.chart.plot.PlotRenderingInfo	3		
.chart.annotations.AbstractXYAnnotation	uses	.chart.entity.EntityCollection	2		
.chart.annotations.AbstractXYAnnotation	uses	.chart.entity.XYAnnotationEntity	2		
.chart.annotations.AbstractXYAnnotation	uses	.chart.entity.ChartEntity	1		
.chart.annotations.AbstractXYAnnotation	uses	.chart.ChartRenderingInfo	2		
.chart.annotations.AbstractXYAnnotation	uses	.util.ObjectUtilities	1		
.chart.annotations.CategoryAnnotation	uses	.chart.plot.CategoryPlot	1	(mfs)	
.chart.annotations.CategoryAnnotation	uses	.chart.axis.CategoryAxis	1	(mfs)	
.chart.annotations.CategoryAnnotation	uses	.chart.axis.ValueAxis	1		
.chart.annotations.CategoryLineAnnotation	implements	.chart.annotations.CategoryAnnotation	1		
.chart.annotations.CategoryLineAnnotation	implements	.util.PublicCloneable	1		
.chart.annotations.CategoryLineAnnotation	uses	.chart.plot.CategoryPlot	5		
.chart.annotations.CategoryLineAnnotation	uses	.chart.axis.CategoryAxis	2		
.chart.annotations.CategoryLineAnnotation	uses	.chart.axis.ValueAxis	2		
.chart.annotations.CategoryLineAnnotation	uses	.chart.plot.Plot	2		
.chart.annotations.CategoryLineAnnotation	uses	.chart.axis.AxisLocation	1		
.chart.annotations.CategoryLineAnnotation	uses	.chart.plot.PlotOrientation	3		
.chart.annotations.CategoryLineAnnotation	uses	.ui.RectangleEdge	1		
.chart.annotations.CategoryLineAnnotation	uses	.chart.axis.CategoryAnchor	2		
.chart.annotations.CategoryLineAnnotation	uses	.data.category.CategoryDataset	1		
.chart.annotations.CategoryLineAnnotation	uses	.data.Values2D	1		
.chart.annotations.CategoryLineAnnotation	uses	.data.KeyedValues2D	1		
.chart.annotations.CategoryLineAnnotation	uses	.io.SerialUtilities	4		
.chart.annotations.CategoryLineAnnotation	uses	.chart.HashUtilities	1		
.chart.annotations.CategoryLineAnnotation	uses	.util.PaintUtilities	1		
.chart.annotations.CategoryLineAnnotation	uses	.util.ObjectUtilities	1		
.chart.annotations.CategoryPointerAnnotation	extends	.chart.annotations.CategoryTextAnnotation	6		
.chart.annotations.CategoryPointerAnnotation	implements	.util.PublicCloneable	1		
.chart.annotations.CategoryPointerAnnotation	uses	.chart.HashUtilities	1		
.chart.annotations.CategoryPointerAnnotation	uses	.util.ObjectUtilities	1		
.chart.annotations.CategoryPointerAnnotation	uses	.io.SerialUtilities	4		
